1,"한솔님 인터뷰 : <a href=""https://youtu.be/QjAVBzcqSxI"">https://youtu.be/QjAVBzcqSxI</a> :)"
1,휘용님 혹시 너의이름은 장면 가능하실까요..?
1,지옥문 옆에 지옥문 하나 더 만들고 원래 지옥문 부순 다음 새 지옥문으로 들어갔다 나오면 원래 자리에 지옥문 다시 생겨서 무한으로 캘 수 있는데.. 휘바용보
1,시리우스별......ㅍㅏ괴됐어......
1,미친사람…
1,미쳤다...
1,1분만 눈이 보이고 싶네... 진짜 마음 아프다..
1,<del>ㅋㅋ</del>
1,휘용님은 자바쓰시나요 베드락쓰시나요??
1,전 아예 포기 할것 같아요!대박 님 혹시 고흐..세요?아님 신??건축의 신???
1,근데 앤더월드 악당이다 <br>\ _ /
1,형 연료는 용암양동이 쓰면 됨
1,진짜 경이롭다
1,적생맹인걸 평생 한으로 삼고 살았는데 휘용님 건축물은 적색맹인 제가 봐도 멋지네요
1,왜 멋있어
1,Mds o trabalho que isso deu meu pai!!!! Ficou muito lindo 😍
1,진짜 작품이네요..
1,아름답다.. 경의롭다.. 폼 미춋다이
1,흑요석 공장만드셔도 되셨을텐데...<br>건축물 부서지는게 너무 맘아프네요<br>ㅠㅠ
1,휘용님 건축물은 볼때마다 감동이네요
1,휘용님 롯데타워 만들어주세용❤❤
1,3년 전부터 휘용 봤던 내 인생
1,진짜.. 와.... 와.......만 하면서 봄
1,이미 알고 있지만 웅장한 예술 작품이다..
1,와...완성본 대박
1,완성 모습 보여주실 때 왜 눈물이 핑 돌았는지... 영상 잘 봤습니다!
1,넘 멋져요!!!
1,이쁘네
1,전 한솔님께 점자를 배웠습니다ㅋㅋㅋ
1,안녕하십니까 석기시대씨!
1,야생맵 배포하실 생각 없으실까용?<br>시즌같은거 바뀌게돼면 복사본을 배포하면좋을거같네용
1,와
1,건축가를 넘어 예술가를 향해가는 휘용! 항상 응원합네다
1,진짜 대단하다는 말밖에 안 나오네요 너무 힘드실 거 같은데 구독 누르고 가요!
1,휘용님 혹시 실례가 안된다면 제가 요즘 시간도 많고 그나마 희망이있으신 휘용님을 도움을 드리고자 야생을 도와드리고싶은데 재료같은거 찾아주거나 등 건축에 자신이 없지만 휘용님을 도와드리고싶어요 혹시 서버 알려주시거나 개인적으로 메세지주시거나 제가 줘도 될까요 진지하게 야생 도와드리고싶어요 진짜진짜진지하게
1,이런 콜라보 너무 좋다...
1,드디어 미치셨습니까 휴먼?
1,"극한의 T인 제가 간만에 마음이 울렁울렁 하다가 코가 살짝 찡해지는걸 느꼈습니다. 울지는 않았지만, 너무너무 감동이어서 이 감정을 어떻게 더 표현해야 할 지 모르겠네요... 제가 만약 F였다면 펑펑 울었을 것 같아요. 멋있고 존경스럽습니다 휘용님. 이런 감정을 체험하게 해주셔서 감사합니다!"
1,진짜 예쁘다
1,한솔님은 시각장애인인데 어떻게 댓글을 쓰시는 걸까
1,맨날 자기전에 보니깐 끝까지 본적이 없어요... ㅋㅋㅋㅋ 5번째 재도전
1,휘용님 캐릭터 있으면.....
1,진짜 이영상을보면서 느낀점은 *쳤다
1,아니 매번 만드시는걸 보지만 이번엔 진짜 예상이 안가는 작품을 만드셨네요..! 보는 내내 소름이 쫙 돋을 정도로 예술작품을 만드셔서 다시 보기까지 했을 정도입니다!😊
1,"과제로 별이 빛나는 밤을 3D로 구현해서 제출했었는데, 마크로 구현된걸 보니까 더 멋지네요!"
1,&quot;최고의 비효율을 뽑는 작품 하나로 뭐든 다 날리는 최고의 유튜버&quot;
1,횽입니다
1,휘용 취미생활 해주세요 ㅠㅠㅠㅠㅠㅠ
1,시리우스 별인가 저거 엔더드래곤때문에 부서진게 더 느낌있네
1,휘용씨 당신은 천재입니다. 이 땅에 태어나 주셔서 감사합니다.
1,제가 불면증이 있는데 휘용님 영상은<br>보면 보는대로 잠이 와서 요즘 자주 보고 있어요 항상 느끼는 거지만 정말 대단하십니다
1,반고흐가 그린 그림들은 따뜻함과 행복을 담고있습니다. 그중 한 작품인 별이 빛나는 밤은 그 안에서 나오는 따뜻함으로 생각과 마음이 차분해집니다. 이걸 직접 마인크래프트로 한땀한땀 만들고 한솔님께도 보여드리는 모습이 너무나도 따뜻하고 행복합니다.. 반고흐의 의도는 이런게 아니였을까요?
1,"크리에이티브로 해도 놀라운걸 어떻게 야생으로 하지,,,"
1,오히려 시리우스 별 조금 부서져있으니깐 더 멋있네...
1,진짜 이걸 보고 댓글 안 남기는 건 범죄인 것 같아요... 너무 멋지고 대단하십니다
1,중간에 한솔님이 1분만 눈이 보이고싶다 하는부분이 진짜 울컥하네요...
1,와진짜미쳤다 이건댓글을안달수가없다 휘용님 미치셨어요????? 와 진짜 대단해 정말.... 너무이뻐요ㅠㅠㅠ
1,&quot;낭만상현&quot;
1,아맞다 구독중이었지
1,정말 가슴 따뜻해지는 영상같아요... 엄청 고생하셨고요ㅜㅜ 처음 봤을 때 마크에서 이런 게 어떻게 만든건지 너무너무 궁굼하고 존경스러웠는데 엄펑난 노고가 있었네요ㅜㅜ
1,그 흑요석 팜 있는데 효율 겁나좋은ㄷ
1,멍청하면 몸이 고생한다는 말있는데 진짜 처음에는 무식하고하는거보고 고생한다 싶었는데... 이젠 존경스럽습니다 선생님
1,휘용몬이 진화했다
1,오 키메라엔트! 하고 들어왔는데 아니었네..
1,와 진짜 독하다
1,와 진짜 대박이에요...
1,형 진짜 멋있어
1,미쳤다
1,"진짜 다른유튜버분들 대부분 버그써서 아이템 복사하고, 장치로 양산하시는 분들 많으신데 거의다 직접 구하시는거 존경스럽네요"
1,"휘용, 그는 신이다<br><br><br><br><br>건축의 신"
1,와아아...엄청좋아하는 그림인디!! 감동스러워요오
1,방구석에나 누워서 이런 작품을 볼 수 잇다니 낭만 쩝니다
1,휘용님! 휘용님! 해저 도시 보고 싶어요.! 바다 밑 마을 만들 수 있을 까요?
1,와....미쳤다...
1,"<a href=""https://www.youtube.com/watch?v=UXtPik71hxE&amp;t=19m11s"">19:11</a> 헤으응~ 헤으응~ 헤응~ 헤으으응~<br><br>노래가 그러는거같음 ㅋㅋㅋㅋ"
